Plate IFU PA_Ha PA_Ha_Error Ha_Vsyst PA_Stellar PA_Stellar_Error Stellar_Vsyst PA_drpall
8309 12704 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 163.20700073242188
9864 3702 169.0 4.25 24.10313219700319 235.5 89.75 21.79426860809326 74.21109771728516
9864 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 125.48999786376953
8591 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 148.31300354003906
9864 12705 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 167.39999389648438
9865 9101 221.0 7.75 38.64359826496104 238.5 89.75 15.897080580779779 159.0970001220703
8597 3704 138.0 1.75 64.74364839266829 240.0 9.25 12.80202092812467 46.858001708984375
8597 3703 211.5 3.75 3.895873054198667 223.5 2.25 -0.10990530024642453 38.89630126953125
9034 6103 233.5 5.5 21.991389829568078 233.0 4.25 14.935370199196484 57.30839920043945
9870 1902 37.0 33.75 -13.754237687081982 243.0 16.25 3.33171037520907 67.31529998779297
9037 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 96.06449890136719
8146 3701 61.0 11.0 17.06897677727291 50.0 5.25 18.67548786209008 45.605499267578125
8938 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 8.881199836730957
9184 9101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 171.21099853515625
8592 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 30.528900146484375
8592 12703 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 152.45899963378906
8486 3702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 129.41600036621094
9031 3704 154.5 3.25 7.611016900793516 241.5 5.25 22.612613677978516 65.68479919433594
9036 3703 156.0 2.75 13.658068618036964 246.0 4.75 26.91993267685701 65.68479919433594
8550 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 158.47000122070312
8312 9102 304.0 5.0 39.12027720629526 358.5 4.000000000000006 17.943611310192466 175.50599670410156
8604 6104 255.5 14.25 20.382013031903192 265.5 7.5 16.068186743110957 87.0238037109375
8312 1901 243.5 33.75 -4.9607388685036335 304.5 27.25 -3.567050003222855 124.0469970703125
8604 6102 17.5 2.5 0.0 337.5 42.25 14.193549898490074 73.56780242919922
9883 6101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 34.098899841308594
8440 3701 315.5 6.25 -7.255950411886744 316.0 7.5 6.128678152306484 135.41299438476562
8440 9101 9.5 1.75 20.526326488847644 334.0 4.25 -1.1252483881016078 173.53900146484375
8440 12702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 64.50050354003906
8247 6101 10.0 1.5 -9.746751545685825 30.0 19.25 1.0532725453361103 52.95610046386719
8247 9102 208.0 9.25 0.042985034101906905 37.0 43.0 3.765679878259661 129.4199981689453
8247 6103 67.5 2.5 23.190518201282877 241.5 1.5 0.4425376646184045 59.39910125732422
8250 1902 197.5 3.0 -0.002585844310374341 103.0 3.0 20.541126601288376 107.85399627685547
8458 9101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 9.279500007629395
8726 6101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 71.84030151367188
8149 12705 220.0 3.75 -40.93272543442589 192.0 4.75 15.939784780021881 103.68599700927734
8942 3701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 78.77069854736328
8941 3704 72.0 21.5 1.5771098657059213 83.5 11.75 9.702372235520066 91.28880310058594
