Plate IFU PA_Ha PA_Ha_Error Ha_Vsyst PA_Stellar PA_Stellar_Error Stellar_Vsyst PA_drpall
9042 3704 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 146.48500061035156
8439 6104 50.0 17.75 0.0 4.0 5.250000000000002 20.00604885416726 52.16299819946289
9502 9101 79.0 5.75 25.11304591276361 282.0 10.5 -1.9992456537239036 92.68689727783203
8943 12705 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 21.239700317382812
8274 12705 206.0 1.75 131.47501043515462 209.5 5.5 96.85072681100903 156.19000244140625
9043 12703 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 87.11009979248047
8727 3703 141.0 0.5 -183.04283905029297 153.5 31.0 -195.33905792236328 132.8699951171875
8612 1901 81.5 1.5 -284.84849966781627 3.0 0.75 -329.71033322946994 146.5659942626953
9044 6104 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 59.15879821777344
8482 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 118.46499633789062
8443 6101 198.5 10.5 -5.492534522548759 68.5 10.25 28.6473940211863 60.93989944458008
8454 12705 156.5 24.5 -34.393638610839844 162.5 27.250000000000004 -40.90827559236913 88.74739837646484
8256 12705 351.0 39.75 133.91742319894212 332.0 5.0 100.2520842714757 156.19000244140625
8948 1901 354.0 0.75 79.50527273856522 24.0 4.0 59.6330112928286 20.30109977722168
8158 3701 296.5 7.0 38.34145907571073 288.0 2.25 31.64993871191954 109.99199676513672
7992 12702 277.0 11.75 2.940706511201107 13.0 62.75 13.228952081311961 19.058700561523438
7992 3701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 157.322998046875
7992 12705 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 18.096599578857422
8611 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 46.183101654052734
7991 3704 162.5 2.75 23.29486176439653 163.5 5.5 15.834053404144974 162.41299438476562
7990 3701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 91.21389770507812
8625 6103 160.0 6.0 32.013755798339844 241.5 89.75 19.134001790981593 177.5330047607422
8626 12701 43.0 8.5 35.21974563598633 93.0 4.25 28.118111372725295 107.89700317382812
7990 12705 78.0 12.0 -9.201420220543724 216.0 89.75 -5.541268479101244 108.99299621582031
9196 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 109.4729995727539
8611 6101 181.5 4.749999999999999 23.912774064347673 55.0 10.5 16.29780451139729 56.950599670410156
9196 12702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 2.0418100357055664
8655 9101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 45.60940170288086
8153 9101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 86.0457992553711
8153 6104 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 56.29750061035156
8077 3701 275.5 17.25 2.164870734341065 268.0 6.25 6.337647483713548 64.6239013671875
8153 12703 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 154.03399658203125
8077 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 71.80860137939453
8077 6101 105.5 6.75 19.119024855265465 86.0 89.75 2.661792160760463 60.27510070800781
8077 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 129.24200439453125
8154 6103 86.0 9.25 25.469718095157365 133.5 14.5 9.701843987010427 119.83799743652344
8154 3704 238.5 14.0 0.0 276.5 8.5 -7.843397906900538 100.86499786376953
8081 12701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 53.2317008972168
9194 3704 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 67.96399688720703
9194 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 34.707000732421875
9193 1902 243.5 10.75 22.451399942667464 243.5 4.25 26.71148096051538 57.36109924316406
