Plate IFU PA_Ha PA_Ha_Error Ha_Vsyst PA_Stellar PA_Stellar_Error Stellar_Vsyst PA_drpall
9042 3704 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 146.48500061035156
8439 6104 285.5 0.5 18.06109994782789 6.5 2.25 18.062142764791915 52.16299819946289
9502 9101 57.5 0.75 25.331956176054987 276.5 0.5 -4.342155456542969 92.68689727783203
8943 12705 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 21.239700317382812
8274 12705 141.5 2.25 78.58764084544006 180.5 1.0 105.40294314161386 156.19000244140625
9043 12703 119.0 1.5 -76.7606855444686 158.5 4.0 -18.908999660958774 87.11009979248047
8727 3703 128.0 0.5 -182.68642376259444 150.5 0.5 -193.60348395147003 132.8699951171875
8612 1901 45.0 0.75 -279.2142259506952 35.0 0.5 -319.5341935407105 146.5659942626953
9044 6104 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 59.15879821777344
8482 1901 317.5 2.75 0.0 271.0 31.75 14.390541972015594 118.46499633789062
8443 6101 213.0 2.0 55.78702846525894 65.0 4.25 27.822759386695516 60.93989944458008
8454 12705 55.5 1.75 -33.68378073861086 172.0 18.500000000000007 -43.294845598823194 88.74739837646484
8256 12705 321.0 0.5 84.53510654858172 332.5 3.5 102.85490914067456 156.19000244140625
8948 1901 184.5 4.25 103.14712706593247 20.0 3.0 58.554952209173855 20.30109977722168
8158 3701 299.0 1.75 39.40185168890582 288.0 1.5 32.60757321696077 109.99199676513672
7992 12702 274.0 1.0 2.3473080445434107 42.0 5.25 2.46536000569661 19.058700561523438
7992 3701 130.0 0.75 -15.207227336814277 332.0 6.25 0.13482238155187787 157.322998046875
7992 12705 223.5 2.5 35.985620374770306 180.0 43.75 26.46986025571823 18.096599578857422
8611 1902 224.5 3.0 11.89776806289072 226.5 3.5 11.795627638768238 46.183101654052734
7991 3704 163.5 1.5 19.85534496131973 160.0 2.5 15.994042866813594 162.41299438476562
7990 3701 280.5 1.75 21.19916181560221 272.0 6.5 19.71731955458057 91.21389770507812
8625 6103 201.0 1.0 59.31727026666552 55.5 16.25 17.443050102248936 177.5330047607422
8626 12701 2.5 0.75 60.673839219772326 240.0 2.75 71.51133728027344 107.89700317382812
7990 12705 119.5 0.5 0.0 179.0 3.500000000000006 -9.410526031534589 108.99299621582031
9196 1901 293.0 2.75 29.415419246725435 109.5 2.75 11.27572372535036 109.4729995727539
8611 6101 183.0 1.25 -4.201469026847853 57.0 4.0 13.665767844896564 56.950599670410156
9196 12702 351.0 0.5 3.969041877454689 7.0 0.5 -3.6174116473236424 2.0418100357055664
8655 9101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 45.60940170288086
8153 9101 69.0 0.5 -19.500540474055057 79.5 11.75 -0.805649640743102 86.0457992553711
8153 6104 61.0 0.5 -44.446707688658606 39.5 4.5 4.927600490252857 56.29750061035156
8077 3701 259.0 2.25 10.17576578254009 262.5 2.25 6.495532427980855 64.6239013671875
8153 12703 103.0 0.5 5.77049176171902 317.0 2.75 2.57585885380332 154.03399658203125
8077 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 71.80860137939453
8077 6101 102.0 1.75 20.829864648004374 139.5 28.25 1.1120163088399773 60.27510070800781
8077 1902 5.5 0.5 0.0 310.0 3.0 13.328887258298977 129.24200439453125
8154 6103 111.5 2.0 20.48774886510054 131.0 9.5 8.5600391206192 119.83799743652344
8154 3704 256.5 2.75 -13.052888870239258 278.5 2.75 -8.363058791765383 100.86499786376953
8081 12701 96.0 0.75 -9.885729469375292 86.5 3.0 -1.1842566573245277 53.2317008972168
9194 3704 202.5 0.5 21.691965776333866 108.0 17.75 3.5217998145066707 67.96399688720703
9194 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 34.707000732421875
9193 1902 246.0 0.5 30.586097551905127 239.5 3.5 26.485570932932156 57.36109924316406
8082 1901 311.5 4.5 9.581177471530015 191.5 89.75 4.746942789577508 163.0229949951172
8081 3702 262.5 1.25 9.36810278083784 182.5 44.50000000000001 8.428599540007973 176.6439971923828
8083 3701 171.0 51.75 1.4469365837455666 193.5 89.0 4.769961313053734 122.0999984741211
8083 1902 325.0 0.5 40.939586213031674 295.0 15.0 14.069067903040093 102.89399719238281
8084 6104 189.5 9.0 16.22665397234286 198.5 3.5 17.7068354256441 14.451800346374512
8155 1901 98.5 1.0 17.364694055827897 286.5 18.5 2.695743823105417 85.95120239257812
8084 1902 218.0 15.0 9.51352628682208 316.5 11.5 0.09819588288142711 137.25999450683594
8135 6102 210.5 0.5 -11.055940806443584 228.0 3.0 0.6278269881924814 33.42729949951172
8137 1902 11.5 0.75 0.0 179.5 5.2500000000000036 11.081359547144409 177.11900329589844
8137 6103 289.5 0.5 17.008787476699496 182.5 3.5 24.31860154820226 3.764470100402832
8137 3701 16.5 2.75 12.239152104102544 359.0 2.4999999999999964 13.153955110175929 178.21400451660156
8140 3702 304.0 4.0 9.72391298370902 122.0 5.0 13.278497390952076 108.31999969482422
8713 3703 15.5 5.75 -6.734074588684587 130.0 89.5 0.04421324561177542 101.6969985961914
8143 1902 300.5 22.75 17.70493706319884 54.0 14.25 10.743826488441664 52.857200622558594
8141 3704 227.0 2.75 12.3901945910984 226.0 5.25 10.00154846099528 49.65549850463867
8143 6103 285.5 0.5 0.0 314.0 2.0 1.622667217783004 108.83100128173828
8143 3703 328.0 1.25 6.003967982661319 127.0 7.5 -1.0533327140119972 133.46800231933594
8143 6104 26.5 1.5 13.195957523679649 25.5 4.75 -2.2819386525253087 20.395599365234375
8243 3701 229.5 3.75 -43.86541688254779 193.5 5.75 11.922207832336426 17.962499618530273
10001 6103 218.5 14.5 17.507899514444887 252.0 4.25 13.170451609898677 32.074501037597656
8721 1901 123.5 7.5 37.23594219636959 96.0 11.5 22.07302914663385 127.27899932861328
