Plate IFU PA_Ha PA_Ha_Error Ha_Vsyst PA_Stellar PA_Stellar_Error Stellar_Vsyst PA_drpall
9042 3704 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 146.48500061035156
8439 6104 88.0 1.5 0.0 3.5 4.0 20.898058765067944 52.16299819946289
9502 9101 74.5 5.5 30.10039397665961 281.0 8.75 -1.4509162441946666 92.68689727783203
8943 12705 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 21.239700317382812
8274 12705 185.0 9.499999999999996 128.5165701307491 197.5 3.25 98.71083261888487 156.19000244140625
9043 12703 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 87.11009979248047
8727 3703 143.5 28.500000000000004 -181.20699774903227 129.0 17.0 -195.22958336480846 132.8699951171875
8612 1901 101.0 0.5 -279.96430012474025 35.0 3.0 -319.58774518074785 146.5659942626953
9044 6104 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 59.15879821777344
8482 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 118.46499633789062
8443 6101 201.5 4.5 10.206070241267396 65.5 8.5 27.90560674886568 60.93989944458008
8454 12705 154.0 18.0 -34.76540884469169 9.0 29.0 -40.54063635653853 88.74739837646484
8256 12705 281.5 31.0 132.24029075975915 335.5 0.75 101.16572414268182 156.19000244140625
8948 1901 354.5 3.75 86.6214994361502 24.0 4.5 58.510298035854916 20.30109977722168
8158 3701 297.5 6.5 37.56095812615949 288.0 2.0 32.28946612874239 109.99199676513672
7992 12702 278.0 10.75 3.9046516184510054 11.5 45.75 9.0802846050005 19.058700561523438
7992 3701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 157.322998046875
7992 12705 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 18.096599578857422
8611 1902 218.0 5.5 3.485017751991876 225.0 11.75 13.687925338745117 46.183101654052734
7991 3704 163.0 3.0 23.917993715770635 163.0 4.5 15.807698287255107 162.41299438476562
7990 3701 273.5 8.25 13.684412460329526 275.5 12.25 17.59290856721793 91.21389770507812
8625 6103 168.5 4.25 34.770381286274585 231.0 88.75 18.718879835689137 177.5330047607422
8626 12701 40.5 9.0 35.67462879992994 91.5 3.25 45.91871068327396 107.89700317382812
7990 12705 83.5 6.5 -8.502294290209498 217.0 89.75 -6.016402191371879 108.99299621582031
9196 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 109.4729995727539
8611 6101 182.0 4.000000000000005 23.435277014885685 54.5 9.25 15.726689507401098 56.950599670410156
9196 12702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 2.0418100357055664
8655 9101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 45.60940170288086
8153 9101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 86.0457992553711
8153 6104 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 56.29750061035156
8077 3701 269.5 12.75 7.833948930702686 267.0 4.5 6.283654325840629 64.6239013671875
8153 12703 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 154.03399658203125
8077 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 71.80860137939453
8077 6101 107.0 5.0 16.244890300311347 124.5 41.5 1.6407227690974464 60.27510070800781
8077 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 129.24200439453125
8154 6103 93.0 9.5 28.54674841234219 133.0 12.75 9.742764379155204 119.83799743652344
8154 3704 238.0 10.75 -1.726635352043779 277.5 7.25 -8.001453555488201 100.86499786376953
8081 12701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 53.2317008972168
9194 3704 128.5 22.0 26.64164582144587 134.0 89.5 3.226792042272418 67.96399688720703
9194 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 34.707000732421875
9193 1902 241.0 10.5 23.228561366395777 241.5 4.0 27.09057737230168 57.36109924316406
8082 1901 329.0 32.5 6.202462130817455 208.0 89.75 3.6498359725345697 163.0229949951172
8081 3702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 176.6439971923828
8083 3701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 122.0999984741211
8083 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 102.89399719238281
8084 6104 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 14.451800346374512
8155 1901 235.5 89.75 12.815929242454104 270.5 38.0 8.651001639104933 85.95120239257812
8084 1902 235.0 35.0 5.126088086658841 302.0 41.75 0.47992897033691406 137.25999450683594
8135 6102 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 33.42729949951172
8137 1902 339.0 16.75 14.53162419937916 182.5 12.499999999999996 8.476440023153813 177.11900329589844
8137 6103 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 3.764470100402832
8137 3701 323.0 24.000000000000007 22.729144068926274 0.5 3.7499999999999964 13.825031593996073 178.21400451660156
