Plate IFU PA_Ha PA_Ha_Error Ha_Vsyst PA_Stellar PA_Stellar_Error Stellar_Vsyst PA_drpall
9042 3704 314.0 0.5 38.92760754169568 149.5 3.0 1.4008447395540387 146.48500061035156
8439 6104 288.5 0.5 18.876016059837724 6.5 2.5 17.922452720479207 52.16299819946289
9502 9101 40.0 0.5 31.66974496080846 256.0 0.5 -24.383936564127602 92.68689727783203
8943 12705 175.0 0.5 -134.39341721895204 0.0 89.75 0.0 21.239700317382812
8274 12705 124.0 0.5 84.37484214374557 181.5 0.5 105.1670912376236 156.19000244140625
9043 12703 179.5 0.5 -55.18453868446626 152.5 1.75 -35.866251399872 87.11009979248047
8727 3703 123.5 0.5 -183.67643788576243 117.0 0.5 -191.96178716467165 132.8699951171875
8612 1901 45.5 1.5 -262.3911594259331 35.0 0.5 -319.5341935407105 146.5659942626953
9044 6104 187.0 0.5 1.9305154832358369 113.5 1.25 22.70050241721606 59.15879821777344
8482 1901 35.5 22.750000000000004 -5.099477796425546 271.0 31.75 14.390541972015594 118.46499633789062
8443 6101 212.5 2.25 56.08605431689337 65.0 4.25 27.822759386695516 60.93989944458008
8454 12705 24.0 12.25 -32.6070328421676 172.0 18.75 -43.291853313514025 88.74739837646484
8256 12705 111.5 0.5 89.95001135503867 332.5 3.5 102.85490914067456 156.19000244140625
8948 1901 184.5 4.25 103.14712706593247 20.0 3.0 58.554952209173855 20.30109977722168
8158 3701 293.5 0.5 40.01333828480237 288.0 1.5 32.60757321696077 109.99199676513672
7992 12702 281.5 0.5 11.129869893643303 46.0 2.5 -0.7135613646914685 19.058700561523438
7992 3701 119.5 0.75 -14.26182559526016 332.5 4.25 4.935717687297551 157.322998046875
7992 12705 159.0 0.5 7.347187616119115 227.0 0.5 28.29634141921997 18.096599578857422
8611 1902 224.5 3.0 11.89776806289072 227.0 3.25 11.45516539917599 46.183101654052734
7991 3704 161.0 1.25 19.188672143108906 162.0 2.5 17.09808623105703 162.41299438476562
7990 3701 287.5 0.5 22.962718461347777 277.5 6.25 19.09201117645672 91.21389770507812
8625 6103 203.0 0.75 62.38528619522077 55.5 16.25 17.443050102248936 177.5330047607422
8626 12701 2.0 0.5 56.56672946716985 225.0 2.75 75.46760463714598 107.89700317382812
7990 12705 100.0 0.5 -2.9818747913983916 1.0 3.9999999999999964 -6.9702208116961515 108.99299621582031
9196 1901 296.0 9.0 31.314305543728253 109.5 3.0 11.390663032704722 109.4729995727539
8611 6101 181.0 1.75 -5.236570250669409 57.0 4.0 13.58556405420497 56.950599670410156
9196 12702 219.0 0.5 6.957836310279176 357.0 0.5 -21.141972860769783 2.0418100357055664
8655 9101 351.0 0.5 109.10566329956055 102.0 65.0 8.090014934539795 45.60940170288086
8153 9101 61.5 0.5 -12.227438276462465 79.5 3.0 9.731138229370117 86.0457992553711
8153 6104 56.0 0.5 -74.82237349192566 38.5 4.0 6.567122731959426 56.29750061035156
8077 3701 259.0 1.25 10.032002922844228 262.5 2.25 6.495532427980855 64.6239013671875
8153 12703 217.0 0.5 0.8504612802686697 312.5 0.5 0.0 154.03399658203125
8077 1901 334.5 0.5 27.466060493822397 223.5 41.25 13.364566314961047 71.80860137939453
8077 6101 91.0 0.5 19.012494764200007 139.5 28.25 1.1120163088399773 60.27510070800781
8077 1902 78.0 0.5 5.174638011223842 310.5 3.0 14.796984569067767 129.24200439453125
8154 6103 111.5 0.75 20.967516790089448 131.0 9.5 8.5600391206192 119.83799743652344
8154 3704 284.5 1.0 -19.81030808675864 280.0 2.0 -8.112409089915083 100.86499786376953
8081 12701 95.5 0.5 -1.1161251201023674 63.0 1.0 -18.462582111358643 53.2317008972168
9194 3704 157.5 0.5 20.340205911646134 108.0 17.75 3.5217998145066707 67.96399688720703
9194 1902 189.0 0.5 26.980664112966025 36.5 7.25 -2.1616479989467265 34.707000732421875
9193 1902 252.5 0.5 27.971669266598838 239.5 3.5 26.485570932932156 57.36109924316406
8082 1901 310.5 2.5 9.938347877000083 191.5 89.75 4.750843137512151 163.0229949951172
8081 3702 226.0 1.75 9.684338903261224 183.5 16.25 8.768685460090637 176.6439971923828
8083 3701 201.0 4.75 2.3806401126553975 195.0 45.0 5.560083468755087 122.0999984741211
8083 1902 310.0 0.5 1.1770336958359593 295.0 15.0 14.069067903040093 102.89399719238281
8084 6104 189.0 0.5 26.22113748204788 199.0 2.75 18.07658576372677 14.451800346374512
8155 1901 357.0 0.5 39.95235951654646 278.5 11.75 0.6367670997309531 85.95120239257812
8084 1902 217.0 13.0 10.259916259812357 317.0 11.75 0.0 137.25999450683594
8135 6102 273.5 6.0 -9.42356930801919 228.0 2.75 0.49084498672125676 33.42729949951172
8137 1902 12.5 1.5 0.0 181.5 5.2500000000000036 11.316359248939605 177.11900329589844
8137 6103 321.5 0.5 -0.8826562320681717 182.5 3.5 24.31860154820226 3.764470100402832
8137 3701 18.0 2.75 11.005886803025453 359.0 2.4999999999999964 13.195866400248217 178.21400451660156
8140 3702 305.5 4.75 10.362352294407636 122.0 5.0 13.278497390952076 108.31999969482422
8713 3703 229.5 0.75 -10.38197746549908 49.5 74.5 -3.9677938557031354 101.6969985961914
8143 1902 79.0 10.75 22.160256719502442 57.0 7.5 11.080240947868575 52.857200622558594
8141 3704 232.0 0.5 12.459018713542036 224.0 4.25 10.029001594181835 49.65549850463867
8143 6103 290.0 0.5 -7.199977539332977 314.0 2.0 1.622667217783004 108.83100128173828
8143 3703 329.0 0.5 5.444826436305033 128.0 6.0 -1.6192425094507072 133.46800231933594
